field_text,predicted_label,target_label,
How Did You Hear About Us?,referral_source,referral_source,
Country ,country,country,
Name,full_name,full_name,
First Name,first_name,first_name,
Last Name,last_name,last_name,
Address,address,Address,
Address Line 1,address,address,
City,city,city,
State,state,state,
Postal Code,zipcode,zipcode,
Phone,phone_number,phone_number,
Phone Device Type,phone_number,phone_number,
Country Phone Code,phone_number,phone_number,
Phone Number,phone_number,phone_number,
Skills,skills,skills,
Type to Add Skills,skills,skills,
Work Experience,experience,experience,
Education,education,education,
Work Experience 1,experience,experience,
Job Title,position,position,
Company,company,company,
Location,city,city,
I currently work here,status,status,
From,from,from,
[MM/YYYY],date,date,
Role Description,dropdown_generic,dropdown_generic,
To,accept_terms,accept_terms,
"Do you now, or will you ever, require sponsorship to work in the Country where the job is located?",dropdown_generic,dropdown_generic,
"Do you now work or have you ever worked at or for Carrier or any of its businesses in any capacity, either as an employee or non-employee? (Non-employees include contractors, agency temporary workers, trainees, apprentices or managed services providers) ",dropdown_generic,dropdown_generic,
"Do you now, or will you ever, require sponsorship to work in the Country where the job is located? ",dropdown_generic,dropdown_generic,
"Do you now work or have you ever worked at or for Carrier or any of its businesses in any capacity, either as an employee or non-employee? (Non-employees include contractors, agency temporary workers, trainees,
apprentices or managed services providers)",dropdown_generic,dropdown_generic,
Are you a protected veteran? (Veteran status definitions can be found in the instructions above) ,dropdown_generic,dropdown_generic,
Terms and Conditions,accept_terms,accept_terms,
"Privacy Disclaimer 1. To give me more opportunities to be considered for a job, I understand that Carrier, while being committed to protect personal information of all job applicants, is a global company and therefore shares job applicant
information across its business and across countries. I understand that the personal information I submit may be
reviewed by Carrier, its affiliated companies and its service providers to consider me for additional opportunities
to which I may be invited to apply.
Please consult the Carrier Job Applicant Privacy Notice for more detailed information.
2. I confirm I will not provide any personal information regarding another person without first obtaining that
person's consent and will supply proof of consent to Carrier upon request.
3. I understand that my personal data is being kept in the portal for two (2) years after creating my profile, unless
I'm located in a country where a shorter retention period applies. If I applied for a job through this portal during
he running retention period, a new retention period will start as from that moment. I can ask for an earlier
deletion of my data at any time, via the My Account section in the candidate home portal.",dropdown_generic,dropdown_generic,
"Yes, I have read and consent to the terms and conditions",accept_terms,accept_terms,
Language,langauge,langauge,
Voluntary Self-Identification of Disability,disbility,disbility,
Name,full_name,full_name,
Date,date,date,
MM/DD/YYYY,date,date,
Please check one of the boxes below:,dropdown_generic,dropdown_generic,
"Yes, I have a disability, or have had one in the past",disbility,disbility,
"No, I do not have a disability and have not had one in the past",disbility,disbility,
"Yes, I have a disability, or have had one in the past",dropdown_generic,dropdown_generic,
"No, I do not have a disability and have not had one in the past",dropdown_generic,dropdown_generic,
First Name ,first_name,first_name,
Last Name ,last_name,last_name,
Email,email,email,
Phone ,phone_number,phone_number,
LinkedIn Profile,linkedin_profile,linkedin,
Website,portfolio_link,portfolio_link,
"Do you have any first-degree relatives (spouse, parent, child, sibling) that are currently employed by NICE or any of its subsidiaries? ",dropdown_generic,dropdown_generic,
Have you ever worked at NICE or any of it's subsidiaries? ,dropdown_generic,dropdown_generic,
Are you willing to come into the office two days a week on a flex-hybrid schedule? ,dropdown_generic,dropdown_generic,
What is your desired hourly rate? ,dropdown_generic,dropdown_generic,
Do you now or in the future require visa sponsorship?,dropdown_generic,dropdown_generic,
Do you current live in the SLC Metro (Ogden-Provo) area? ,dropdown_generic,dropdown_generic,
Are you willing to work 20 hrs a week for 12-18 months?,dropdown_generic,dropdown_generic,
Gender,dropdown_generic,dropdown_generic,
Are you Hispanic/Latino?,dropdown_generic,dropdown_generic,
Veteran Status,dropdown_generic,dropdown_generic,
Disability Status,dropdown_generic,dropdown_generic,
How Did You Hear About Us?,referral_source,referral_source,
Country ,country,country,
First Name,first_name,first_name,
Last Name,last_name,last_name,
Address Line 1,address,address,
City,city,city,
State,state,state,
Postal Code,zipcode,zipcode,
